* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Jul 27, 2023 11:07:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A over B A = Delta B = EQ HBB ∆
* Measurement: A over B
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
2090.000000	5.352
2120.000000	5.564
2140.000000	5.709
2180.000000	6.005
2200.000000	6.154
2240.000000	6.452
2270.000000	6.674
2300.000000	6.891
2330.000000	7.103
2360.000000	7.308
2400.000000	7.568
2430.000000	7.752
2470.000000	7.981
2500.000000	8.142
2540.000000	8.342
2580.000000	8.527
2620.000000	8.697
2650.000000	8.814
2690.000000	8.958
2720.000000	9.055
2760.000000	9.170
2800.000000	9.268
2850.000000	9.366
2900.000000	9.435
2950.000000	9.477
3000.000000	9.494
3040.000000	9.491
3070.000000	9.480
3110.000000	9.454
3150.000000	9.417
3200.000000	9.357
3250.000000	9.282
3300.000000	9.195
3350.000000	9.097
3400.000000	8.988
3450.000000	8.871
3500.000000	8.748
3550.000000	8.618
3600.000000	8.482
3650.000000	8.341
3700.000000	8.195
3750.000000	8.044
3820.000000	7.830
3870.000000	7.676
3950.000000	7.429
4000.000000	7.276
4060.000000	7.095
4120.000000	6.918
4180.000000	6.743
4250.000000	6.548
4310.000000	6.388
4370.000000	6.240
4440.000000	6.087
4500.000000	5.976
4550.000000	5.899
4620.000000	5.811
4680.000000	5.751
4750.000000	5.695
4820.000000	5.645
4870.000000	5.610
4940.000000	5.560
5000.000000	5.512
5080.000000	5.442
5150.000000	5.374
5220.000000	5.299
5300.000000	5.203
5380.000000	5.095
5450.000000	4.992
5520.000000	4.882
5600.000000	4.748
5700.000000	4.577
5800.000000	4.408
5900.000000	4.248
6000.000000	4.105
6080.000000	4.003
6150.000000	3.925
6220.000000	3.854
6300.000000	3.782
6400.000000	3.699
6500.000000	3.617
6600.000000	3.531
6700.000000	3.436
6800.000000	3.331
6900.000000	3.218
7000.000000	3.099
7100.000000	2.979
7200.000000	2.862
7300.000000	2.749
7400.000000	2.641
7500.000000	2.537
7620.000000	2.417
7750.000000	2.288
7880.000000	2.156
8000.000000	2.027
8120.000000	1.889
8250.000000	1.727
8380.000000	1.554
8500.000000	1.386
8620.000000	1.212
8750.000000	1.025
8850.000000	0.888
9000.000000	0.703
9120.000000	0.583
9250.000000	0.483
9380.000000	0.405
9500.000000	0.337
9620.000000	0.251
9750.000000	0.118
9880.000000	-0.060
10000.000000	-0.254
10150.000000	-0.495
10300.000000	-0.689
10440.000000	-0.822
10600.000000	-1.012
10750.000000	-1.376
10900.000000	-2.016
11060.000000	-2.967
11200.000000	-3.904
11380.000000	-5.054
11500.000000	-5.697
11720.000000	-6.561
11800.000000	-6.777
12060.000000	-7.170
12200.000000	-7.199
12410.000000	-7.025
12500.000000	-6.895
12650.000000	-6.629
12800.000000	-6.332
13150.000000	-5.641
13200.000000	-5.552
13400.000000	-5.248
13600.000000	-5.045
13800.000000	-4.961
14000.000000	-5.006
14300.000000	-5.289
14500.000000	-5.592
14750.000000	-6.057
15000.000000	-6.545
15250.000000	-6.996
15500.000000	-7.371
15750.000000	-7.659
16000.000000	-7.876
16250.000000	-8.046
16500.000000	-8.190
16750.000000	-8.317
17000.000000	-8.435
17250.000000	-8.554
17500.000000	-8.693
17750.000000	-8.885
18000.000000	-9.167
18250.000000	-9.571
18500.000000	-10.100
18750.000000	-10.696
19000.000000	-11.223
19250.000000	-11.517
19500.000000	-11.579
19750.000000	-11.885
20000.000000	-14.070
