* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/HBB/Ready/Super 22 Comp Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 20, 2023 8:44:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/HBB/Ready/Super 22 Comp Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: Super 22 Comp Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
630.000000	0.568658	0
640.000000	0.557306	0
650.000000	0.544260	0
660.000000	0.529576	0
670.000000	0.514244	0
680.000000	0.498069	0
690.000000	0.478447	0
700.000000	0.457000	0
710.000000	0.434926	0
720.000000	0.413006	0
730.000000	0.389525	0
740.000000	0.365347	0
750.000000	0.342370	0
762.000000	0.312130	0
775.000000	0.279501	0
788.000000	0.246528	0
800.000000	0.215988	0
812.000000	0.187071	0
825.000000	0.154488	0
838.000000	0.122949	0
850.000000	0.094361	0
862.000000	0.067982	0
875.000000	0.038678	0
885.000000	0.017242	0
900.000000	-0.014243	0
912.000000	-0.037091	0
925.000000	-0.058960	0
938.000000	-0.073614	0
950.000000	-0.080396	0
962.000000	-0.080428	0
975.000000	-0.069462	0
988.000000	-0.044276	0
1000.000000	-0.007775	0
1015.000000	0.054939	0
1030.000000	0.137317	0
1044.000000	0.228803	0
1060.000000	0.349048	0
1075.000000	0.473701	0
1090.000000	0.607214	0
1106.000000	0.755397	0
1120.000000	0.888888	0
1138.000000	1.064316	0
1150.000000	1.183428	0
1172.000000	1.403856	0
1180.000000	1.483957	0
1206.000000	1.742310	0
1220.000000	1.879972	0
1241.000000	2.080185	0
1250.000000	2.163229	0
1265.000000	2.296862	0
1280.000000	2.425156	0
1315.000000	2.698030	0
1320.000000	2.734931	0
1340.000000	2.875951	0
1360.000000	3.007750	0
1380.000000	3.129086	0
1400.000000	3.242857	0
1430.000000	3.406148	0
1450.000000	3.511329	0
1475.000000	3.639718	0
1500.000000	3.764140	0
1525.000000	3.886471	0
1550.000000	4.005897	0
1575.000000	4.123436	0
1600.000000	4.240079	0
1625.000000	4.354976	0
1650.000000	4.469174	0
1675.000000	4.583648	0
1700.000000	4.697554	0
1725.000000	4.811814	0
1750.000000	4.926644	0
1775.000000	5.042867	0
1800.000000	5.159779	0
1825.000000	5.278122	0
1850.000000	5.395240	0
1875.000000	5.514950	0
1900.000000	5.634409	0
1925.000000	5.753548	0
1950.000000	5.872635	0
1975.000000	5.993260	0
2000.000000	6.111893	0
2030.000000	6.253210	0
2060.000000	6.391027	0
2090.000000	6.527207	0
2120.000000	6.659883	0
2140.000000	6.747224	0
2180.000000	6.920726	0
2200.000000	7.004132	0
2240.000000	7.167888	0
2270.000000	7.287202	0
2300.000000	7.402274	0
2330.000000	7.515747	0
2360.000000	7.626663	0
2400.000000	7.767067	0
2430.000000	7.868436	0
2470.000000	7.999544	0
2500.000000	8.094666	0
2540.000000	8.216737	0
2580.000000	8.335594	0
2620.000000	8.446836	0
2650.000000	8.525537	0
2690.000000	8.624790	0
2720.000000	8.692120	0
2760.000000	8.772720	0
2800.000000	8.841696	0
2850.000000	8.907428	0
2900.000000	8.947556	0
2950.000000	8.961646	0
3000.000000	8.948562	0
3040.000000	8.918592	0
3070.000000	8.885541	0
3110.000000	8.828976	0
3150.000000	8.761397	0
3200.000000	8.663799	0
3250.000000	8.553308	0
3300.000000	8.435938	0
3350.000000	8.312657	0
3400.000000	8.184984	0
3450.000000	8.054328	0
3500.000000	7.922376	0
3550.000000	7.787388	0
3600.000000	7.651433	0
3650.000000	7.512352	0
3700.000000	7.371280	0
3750.000000	7.230433	0
3820.000000	7.032630	0
3870.000000	6.891065	0
3950.000000	6.666350	0
4000.000000	6.528306	0
4060.000000	6.364284	0
4120.000000	6.202014	0
4180.000000	6.042370	0
4250.000000	5.862722	0
4310.000000	5.713703	0
4370.000000	5.574433	0
4440.000000	5.429169	0
4500.000000	5.320964	0
4550.000000	5.242517	0
4620.000000	5.148396	0
4680.000000	5.075874	0
4750.000000	4.996874	0
4820.000000	4.914601	0
4870.000000	4.849809	0
4940.000000	4.750082	0
5000.000000	4.651658	0
5080.000000	4.505931	0
5150.000000	4.366226	0
5220.000000	4.214368	0
5300.000000	4.027780	0
5380.000000	3.830025	0
5450.000000	3.649866	0
5520.000000	3.466321	0
5600.000000	3.258655	0
5700.000000	3.010278	0
5800.000000	2.786871	0
5900.000000	2.596546	0
6000.000000	2.447924	0
6080.000000	2.360533	0
6150.000000	2.308112	0
6220.000000	2.274274	0
6300.000000	2.251930	0
6400.000000	2.245203	0
6500.000000	2.248784	0
6600.000000	2.253431	0
6700.000000	2.250648	0
6800.000000	2.238063	0
6900.000000	2.213456	0
7000.000000	2.181144	0
7100.000000	2.143628	0
7200.000000	2.104219	0
7300.000000	2.065651	0
7400.000000	2.030628	0
7500.000000	1.996206	0
7620.000000	1.956311	0
7750.000000	1.914340	0
7880.000000	1.868493	0
8000.000000	1.819084	0
8120.000000	1.763025	0
8250.000000	1.694555	0
8380.000000	1.621589	0
8500.000000	1.553680	0
8620.000000	1.491411	0
8750.000000	1.436284	0
8850.000000	1.408911	0
9000.000000	1.405163	0
9120.000000	1.442184	0
9250.000000	1.526563	0
9380.000000	1.643971	0
9500.000000	1.762495	0
9620.000000	1.868671	0
9750.000000	1.947889	0
9880.000000	1.983696	0
10000.000000	1.987068	0
10150.000000	1.990488	0
10300.000000	2.038934	0
10440.000000	2.133277	0
10600.000000	2.200171	0
10750.000000	2.062718	0
10900.000000	1.628130	0
11060.000000	0.899585	0
11200.000000	0.182767	0
11380.000000	-0.671300	0
11500.000000	-1.133412	0
11720.000000	-1.765041	0
11800.000000	-1.919611	0
12060.000000	-2.209662	0
12200.000000	-2.201052	0
12410.000000	-1.966352	0
12500.000000	-1.812315	0
12650.000000	-1.506616	0
12800.000000	-1.182529	0
13150.000000	-0.472269	0
13200.000000	-0.382908	0
13400.000000	-0.100853	0
13600.000000	0.066468	0
13800.000000	0.105618	0
14000.000000	0.004966	0
14300.000000	-0.370283	0
14500.000000	-0.739131	0
14750.000000	-1.288631	0
15000.000000	-1.859192	0
15250.000000	-2.389155	0
15500.000000	-2.843091	0
15750.000000	-3.208682	0
16000.000000	-3.501175	0
16250.000000	-3.746411	0
16500.000000	-3.965461	0
16750.000000	-4.167216	0
17000.000000	-4.360193	0
17250.000000	-4.550413	0
17500.000000	-4.757312	0
17750.000000	-5.013159	0
18000.000000	-5.354383	0
18250.000000	-5.814921	0
18500.000000	-6.402738	0
18750.000000	-7.057835	0
19000.000000	-7.635057	0
19250.000000	-7.920436	0
19500.000000	-7.682084	0
19750.000000	-6.791124	0
