* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result 1 / A
* Format: Trace Arithmetic result 1 / A
* Dated: Jul 28, 2023 12:24:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic 1/A A = EQ HBB ∆
* Measurement: 1/A
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1650.000000	-0.403
1675.000000	-0.409
1700.000000	-0.416
1725.000000	-0.423
1750.000000	-0.430
1775.000000	-0.437
1800.000000	-0.444
1825.000000	-0.450
1850.000000	-0.457
1875.000000	-0.462
1900.000000	-0.467
1925.000000	-0.472
1950.000000	-0.477
1975.000000	-0.481
2000.000000	-0.486
2030.000000	-0.491
2060.000000	-0.497
2090.000000	-0.501
2120.000000	-0.505
2140.000000	-0.506
2180.000000	-0.504
2200.000000	-0.502
2240.000000	-0.494
2270.000000	-0.486
2300.000000	-0.476
2330.000000	-0.464
2360.000000	-0.451
2400.000000	-0.434
2430.000000	-0.421
2470.000000	-0.403
2500.000000	-0.390
2540.000000	-0.372
2580.000000	-0.352
2620.000000	-0.333
2650.000000	-0.318
2690.000000	-0.297
2720.000000	-0.282
2760.000000	-0.262
2800.000000	-0.242
2850.000000	-0.219
2900.000000	-0.199
2950.000000	-0.182
3000.000000	-0.168
3040.000000	-0.159
3070.000000	-0.153
3110.000000	-0.146
3150.000000	-0.138
3200.000000	-0.128
3250.000000	-0.117
3300.000000	-0.104
3350.000000	-0.089
3400.000000	-0.071
3450.000000	-0.053
3500.000000	-0.033
3550.000000	-0.014
3600.000000	0.004
3650.000000	0.021
3700.000000	0.035
3750.000000	0.048
3820.000000	0.064
3870.000000	0.073
3950.000000	0.084
4000.000000	0.088
4060.000000	0.091
4120.000000	0.088
4180.000000	0.080
4250.000000	0.064
4310.000000	0.044
4370.000000	0.023
4440.000000	0.001
4500.000000	-0.013
4550.000000	-0.020
4620.000000	-0.020
4680.000000	-0.014
4750.000000	0.001
4820.000000	0.022
4870.000000	0.040
4940.000000	0.069
5000.000000	0.096
5080.000000	0.138
5150.000000	0.180
5220.000000	0.223
5300.000000	0.271
5380.000000	0.316
5450.000000	0.350
5520.000000	0.378
5600.000000	0.405
5700.000000	0.432
5800.000000	0.456
5900.000000	0.480
6000.000000	0.508
6080.000000	0.534
6150.000000	0.559
6220.000000	0.584
6300.000000	0.609
6400.000000	0.633
6500.000000	0.641
6600.000000	0.628
6700.000000	0.590
6800.000000	0.530
6900.000000	0.450
7000.000000	0.358
7100.000000	0.262
7200.000000	0.168
7300.000000	0.083
7400.000000	0.012
7500.000000	-0.043
7620.000000	-0.084
7750.000000	-0.094
7880.000000	-0.069
8000.000000	-0.015
8120.000000	0.070
8250.000000	0.195
8380.000000	0.355
8500.000000	0.535
8620.000000	0.746
8750.000000	1.010
8850.000000	1.238
9000.000000	1.621
9120.000000	1.957
9250.000000	2.342
9380.000000	2.728
9500.000000	3.061
9620.000000	3.349
9750.000000	3.589
9880.000000	3.749
10000.000000	3.833
10150.000000	3.890
10300.000000	3.939
10440.000000	4.000
10600.000000	4.045
10750.000000	3.981
10900.000000	3.760
11060.000000	3.376
11200.000000	2.980
11380.000000	2.486
11500.000000	2.205
11720.000000	1.810
11800.000000	1.703
12060.000000	1.469
12200.000000	1.412
12410.000000	1.414
12500.000000	1.437
12650.000000	1.498
12800.000000	1.573
13150.000000	1.753
13200.000000	1.775
13400.000000	1.843
13600.000000	1.866
13800.000000	1.834
14000.000000	1.737
14300.000000	1.482
14500.000000	1.247
14750.000000	0.900
15000.000000	0.525
15250.000000	0.147
15500.000000	-0.221
15750.000000	-0.579
16000.000000	-0.938
16250.000000	-1.308
16500.000000	-1.691
16750.000000	-2.079
17000.000000	-2.466
17250.000000	-2.849
17500.000000	-3.236
17750.000000	-3.645
18000.000000	-4.099
18250.000000	-4.614
18500.000000	-5.182
18750.000000	-5.738
19000.000000	-6.144
19250.000000	-6.233
19500.000000	-5.850
19750.000000	-4.563
20000.000000	-2.123
