* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/HBB/Ready/IEF Comp Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 20, 2023 8:44:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/HBB/Ready/IEF Comp Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: IEF Comp Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
630.000000	0.217127	0
640.000000	0.209040	0
650.000000	0.181978	0
660.000000	0.175385	0
670.000000	0.170764	0
680.000000	0.163225	0
690.000000	0.139654	0
700.000000	0.140211	0
710.000000	0.119839	0
720.000000	0.118115	0
730.000000	0.105895	0
740.000000	0.090888	0
750.000000	0.096645	0
762.000000	0.067071	0
775.000000	0.066828	0
788.000000	0.042903	0
800.000000	0.044339	0
812.000000	0.026134	0
825.000000	0.015169	0
838.000000	0.004949	0
850.000000	-0.016911	0
862.000000	-0.014971	0
875.000000	-0.031344	0
885.000000	-0.041726	0
900.000000	-0.045575	0
912.000000	-0.051384	0
925.000000	-0.089792	0
938.000000	-0.093114	0
950.000000	-0.096396	0
962.000000	-0.104624	0
975.000000	-0.113388	0
988.000000	-0.121359	0
1000.000000	-0.115242	0
1015.000000	-0.049403	0
1030.000000	-0.001004	0
1044.000000	0.052548	0
1060.000000	0.127047	0
1075.000000	0.186688	0
1090.000000	0.270417	0
1106.000000	0.369708	0
1120.000000	0.460480	0
1138.000000	0.577414	0
1150.000000	0.654809	0
1172.000000	0.800841	0
1180.000000	0.851840	0
1206.000000	1.023369	0
1220.000000	1.111938	0
1241.000000	1.242506	0
1250.000000	1.296837	0
1265.000000	1.385814	0
1280.000000	1.470672	0
1315.000000	1.646437	0
1320.000000	1.669199	0
1340.000000	1.754343	0
1360.000000	1.842065	0
1380.000000	1.921017	0
1400.000000	1.999029	0
1430.000000	2.135859	0
1450.000000	2.197053	0
1475.000000	2.291114	0
1500.000000	2.390722	0
1525.000000	2.497543	0
1550.000000	2.603334	0
1575.000000	2.706926	0
1600.000000	2.815603	0
1625.000000	2.927697	0
1650.000000	3.046270	0
1675.000000	3.161968	0
1700.000000	3.283460	0
1725.000000	3.409513	0
1750.000000	3.536379	0
1775.000000	3.639032	0
1800.000000	3.752268	0
1825.000000	3.904739	0
1850.000000	4.053445	0
1875.000000	4.194546	0
1900.000000	4.335398	0
1925.000000	4.476645	0
1950.000000	4.619259	0
1975.000000	4.761468	0
2000.000000	4.903396	0
2030.000000	5.069320	0
2060.000000	5.226460	0
2090.000000	5.382483	0
2120.000000	5.539881	0
2140.000000	5.647575	0
2180.000000	5.887935	0
2200.000000	5.970698	0
2240.000000	6.148638	0
2270.000000	6.303525	0
2300.000000	6.452634	0
2330.000000	6.600536	0
2360.000000	6.749269	0
2400.000000	6.921576	0
2430.000000	7.042363	0
2470.000000	7.192563	0
2500.000000	7.299224	0
2540.000000	7.432688	0
2580.000000	7.566641	0
2620.000000	7.692515	0
2650.000000	7.767253	0
2690.000000	7.858708	0
2720.000000	7.918993	0
2760.000000	7.990894	0
2800.000000	8.053791	0
2850.000000	8.115753	0
2900.000000	8.158280	0
2950.000000	8.187716	0
3000.000000	8.195978	0
3040.000000	8.184235	0
3070.000000	8.178432	0
3110.000000	8.157164	0
3150.000000	8.133581	0
3200.000000	8.098783	0
3250.000000	8.041404	0
3300.000000	7.988832	0
3350.000000	7.939309	0
3400.000000	7.906320	0
3450.000000	7.832128	0
3500.000000	7.770319	0
3550.000000	7.729624	0
3600.000000	7.659071	0
3650.000000	7.579342	0
3700.000000	7.494409	0
3750.000000	7.409359	0
3820.000000	7.287541	0
3870.000000	7.197313	0
3950.000000	7.044511	0
4000.000000	6.948294	0
4060.000000	6.828548	0
4120.000000	6.705411	0
4180.000000	6.576592	0
4250.000000	6.425282	0
4310.000000	6.288472	0
4370.000000	6.149613	0
4440.000000	5.997208	0
4500.000000	5.870572	0
4550.000000	5.772820	0
4620.000000	5.652428	0
4680.000000	5.559332	0
4750.000000	5.460401	0
4820.000000	5.370429	0
4870.000000	5.313348	0
4940.000000	5.242349	0
5000.000000	5.186384	0
5080.000000	5.121506	0
5150.000000	5.074237	0
5220.000000	5.013892	0
5300.000000	4.924902	0
5380.000000	4.880355	0
5450.000000	4.871744	0
5520.000000	4.822296	0
